000.001;
-000.020;012.108;
-000.019;012.108;
-000.018;012.108;
-000.017;012.106;
-000.016;012.106;
-000.016;012.104;
-000.015;012.102;
-000.014;012.102;
-000.013;012.100;
-000.013;012.100;
-000.014;012.100;
-000.014;012.102;
-000.015;012.102;
-000.016;012.102;
-000.016;012.104;
-000.017;012.106;
-000.017;012.106;
-000.016;012.106;
-000.014;012.104;
-000.013;012.102;
-000.012;012.100;
-000.010;012.100;
-000.009;012.098;
-000.008;012.096;
-000.007;012.094;
-000.006;012.092;
-000.006;012.092;
-000.006;012.092;
-000.006;012.092;
-000.007;012.092;
-000.007;012.092;
-000.007;012.094;
-000.006;012.094;
-000.005;012.092;
-000.004;012.090;
-000.003;012.090;
-000.002;012.088;
-000.001;012.086;
-000.000;012.086;
-000.000;012.084;
000.000;012.082;
000.001;012.082;
000.002;012.080;
000.002;012.080;
000.002;012.080;
000.001;012.080;
000.000;012.080;
-000.000;012.082;
-000.000;012.082;
-000.000;012.084;
000.000;012.084;
000.001;012.082;
000.002;012.080;
000.003;012.080;
000.005;012.078;
000.006;012.076;
000.007;012.076;
000.008;012.074;
000.009;012.072;
000.010;012.070;
000.011;012.068;
000.012;012.066;
000.013;012.064;
000.014;012.064;
000.016;012.062;
000.017;012.060;
000.018;012.058;
000.019;012.056;
000.020;012.054;
000.020;012.054;
000.020;012.054;
000.020;012.052;
000.021;012.052;
000.021;012.052;
000.022;012.050;
000.022;012.050;
000.023;012.048;
000.024;012.046;
000.024;012.046;
000.025;012.044;
000.026;012.044;
000.026;012.042;
000.027;012.042;
000.027;012.040;
000.027;012.040;
000.028;012.038;
000.028;012.038;
000.028;012.038;
000.028;012.038;
000.029;012.036;
000.029;012.036;
000.029;012.034;
000.028;012.034;
000.028;012.036;
000.028;012.036;
000.029;012.036;
000.030;012.034;
000.030;012.032;
000.031;012.032;
000.031;012.030;
000.031;012.030;
000.031;012.030;
000.031;012.030;
000.032;012.028;
000.032;012.028;
000.032;012.028;
000.032;012.028;
000.032;012.026;
000.031;012.026;
000.031;012.026;
000.031;012.026;
000.031;012.026;
000.030;012.026;
000.030;012.028;
000.029;012.028;
000.028;012.030;
000.027;012.030;
000.026;012.032;
000.025;012.032;
000.024;012.034;
000.023;012.036;
000.024;012.036;
000.024;012.034;
000.023;012.034;
000.023;012.036;
000.022;012.036;
000.022;012.036;
000.022;012.036;
000.021;012.036;
000.021;012.038;
000.021;012.038;
000.021;012.038;
000.020;012.038;
000.020;012.038;
000.020;012.038;
000.020;012.038;
000.020;012.038;
000.021;012.038;
000.021;012.036;
000.022;012.036;
000.022;012.034;
000.020;012.034;
000.019;012.036;
000.017;012.038;
000.016;012.040;
000.014;012.042;
000.013;012.044;
000.012;012.046;
000.012;012.046;
000.011;012.048;
000.010;012.048;
000.010;012.050;
000.009;012.050;
000.009;012.050;
000.009;012.052;
000.008;012.052;
000.008;012.052;
000.007;012.052;
000.007;012.054;
000.006;012.054;
000.005;012.054;
000.004;012.056;
000.003;012.058;
000.001;012.060;
-000.000;012.062;
-000.002;012.066;
-000.004;012.068;
-000.006;012.072;
-000.007;012.074;
-000.008;012.076;
-000.009;012.078;
-000.009;012.078;
