-000.006;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.034;000.001;
000.035;000.001;
000.035;000.001;
000.034;000.001;
000.035;000.001;
000.034;000.001;
000.034;000.001;
000.034;000.001;
000.034;000.001;
000.034;000.001;
000.034;000.001;
000.034;000.001;
000.034;000.001;
000.034;000.001;
000.034;000.001;
000.034;000.001;
000.034;000.001;
000.034;000.001;
000.034;000.001;
000.034;000.001;
000.034;000.001;
000.034;000.001;
000.034;000.001;
000.034;000.001;
000.034;000.001;
000.034;000.001;
000.034;000.001;
000.033;000.001;
000.034;000.001;
000.034;000.001;
000.033;000.001;
000.034;000.001;
000.033;000.001;
000.033;000.001;
000.033;000.001;
000.033;000.001;
000.033;000.001;
000.033;000.001;
000.033;000.001;
000.033;000.001;
000.033;000.001;
000.033;000.001;
000.033;000.001;
000.033;000.001;
000.033;000.001;
000.033;000.001;
000.033;000.001;
000.033;000.001;
000.033;000.001;
000.033;000.001;
000.032;000.001;
000.033;000.001;
000.032;000.001;
000.032;000.001;
000.032;000.001;
000.032;000.001;
000.032;000.001;
000.032;000.001;
000.032;000.001;
000.032;000.001;
000.032;000.001;
000.032;000.001;
000.032;000.001;
000.032;000.001;
000.032;000.001;
000.032;000.001;
000.032;000.001;
000.032;000.001;
000.032;000.001;
000.032;000.001;
000.032;000.001;
000.032;000.001;
000.032;000.001;
000.032;000.001;
000.032;000.001;
000.032;000.001;
000.032;000.001;
000.032;000.001;
000.032;000.001;
000.032;000.001;
000.032;000.001;
000.032;000.001;
000.032;000.001;
000.031;000.001;
000.031;000.001;
000.031;000.001;
000.031;000.001;
000.031;000.001;
000.031;000.001;
000.031;000.001;
000.031;000.001;
000.031;000.001;
000.031;000.001;
000.031;000.001;
000.031;000.001;
000.031;000.001;
000.031;000.001;
000.031;000.001;
000.031;000.001;
000.031;000.001;
000.031;000.001;
000.031;000.001;
000.031;000.001;
000.031;000.001;
000.031;000.001;
000.031;000.001;
000.031;000.001;
000.031;000.001;
000.031;000.001;
000.031;000.001;
000.031;000.001;
000.031;000.001;
000.031;000.001;
000.031;000.001;
000.031;000.001;
000.031;000.001;
000.031;000.001;
000.031;000.001;
000.031;000.001;
000.031;000.001;
000.031;000.001;
000.031;000.001;
000.032;000.001;
000.031;000.001;
000.031;000.001;
000.032;000.001;
000.031;000.001;
000.031;000.001;
000.031;000.001;
000.031;000.001;
000.032;000.001;
000.032;000.001;
000.031;000.001;
000.031;000.001;
000.032;000.001;
000.032;000.001;
000.031;000.001;
000.032;000.001;
000.031;000.001;
000.031;000.001;
000.032;000.001;
000.032;000.001;
000.032;000.001;
000.032;000.001;
000.032;000.001;
000.032;000.001;
000.032;000.001;
000.032;000.001;
000.032;000.001;
000.032;000.001;
000.032;000.001;
000.032;000.001;
000.032;000.001;
000.032;000.001;
000.033;000.001;
000.032;000.001;
000.032;000.001;
000.033;000.001;
000.032;000.001;
000.033;000.001;
000.033;000.001;
000.033;000.001;
000.033;000.001;
000.033;000.001;
000.033;000.001;
000.033;000.001;
000.033;000.001;
000.033;000.001;
000.033;000.001;
000.033;000.001;
000.033;000.001;
000.033;000.001;
000.033;000.001;
000.033;000.001;
000.034;000.001;
000.033;000.001;
000.033;000.001;
000.034;000.001;
000.033;000.001;
000.034;000.001;
000.034;000.001;
000.034;000.001;
000.034;000.001;
000.034;000.001;
000.034;000.001;
000.034;000.001;
000.034;000.001;
000.034;000.001;
000.034;000.001;
000.034;000.001;
000.034;000.001;
000.034;000.001;
000.034;000.001;
000.034;000.001;
000.034;000.001;
000.035;000.001;
000.034;000.001;
000.034;000.001;
000.035;000.001;
000.034;000.001;
000.035;000.001;
000.035;000.001;
000.034;000.001;
000.035;000.001;
000.035;000.001;
000.034;000.001;
000.035;000.001;
000.035;000.001;
000.034;000.001;
000.035;000.001;
000.034;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
000.035;000.001;
