000.004;
-000.009;011.358;
-000.009;011.360;
-000.008;011.360;
-000.008;011.360;
-000.007;011.358;
-000.007;011.358;
-000.006;011.358;
-000.006;011.356;
-000.005;011.356;
-000.005;011.356;
-000.005;011.356;
-000.005;011.354;
-000.005;011.356;
-000.005;011.356;
-000.004;011.354;
-000.003;011.354;
-000.002;011.352;
-000.002;011.352;
-000.001;011.350;
-000.001;011.350;
-000.000;011.350;
-000.000;011.348;
-000.000;011.348;
-000.000;011.348;
-000.000;011.348;
-000.000;011.348;
000.000;011.348;
000.000;011.348;
000.001;011.346;
000.002;011.346;
000.002;011.344;
000.003;011.344;
000.003;011.342;
000.003;011.342;
000.004;011.342;
000.004;011.342;
000.004;011.340;
000.005;011.340;
000.005;011.340;
000.007;011.338;
000.007;011.336;
000.007;011.336;
000.008;011.336;
000.008;011.334;
000.008;011.334;
000.008;011.334;
000.009;011.334;
000.009;011.332;
000.009;011.332;
000.009;011.332;
000.009;011.332;
000.009;011.332;
000.010;011.332;
000.010;011.330;
000.011;011.330;
000.011;011.330;
000.011;011.328;
000.011;011.328;
000.011;011.328;
000.011;011.328;
000.011;011.328;
000.011;011.328;
000.011;011.328;
000.012;011.328;
000.012;011.326;
000.013;011.326;
000.013;011.326;
000.013;011.324;
000.013;011.324;
000.013;011.324;
000.013;011.324;
000.013;011.324;
000.013;011.324;
000.013;011.324;
000.014;011.324;
000.015;011.322;
000.015;011.322;
000.015;011.322;
000.015;011.322;
000.014;011.322;
000.014;011.322;
000.014;011.322;
000.014;011.322;
000.015;011.322;
000.016;011.320;
000.016;011.318;
000.015;011.318;
000.015;011.318;
000.015;011.318;
000.015;011.318;
000.015;011.318;
000.015;011.318;
000.015;011.318;
000.015;011.318;
000.014;011.320;
000.014;011.320;
000.014;011.320;
000.014;011.320;
000.014;011.320;
000.014;011.320;
000.014;011.320;
000.014;011.320;
000.013;011.320;
000.013;011.320;
000.013;011.320;
000.012;011.320;
000.012;011.322;
000.012;011.322;
000.012;011.322;
000.012;011.320;
000.012;011.322;
000.011;011.322;
000.011;011.322;
000.010;011.322;
000.010;011.324;
000.010;011.324;
000.010;011.324;
000.010;011.324;
000.010;011.324;
000.010;011.324;
000.010;011.324;
000.009;011.324;
000.009;011.324;
000.008;011.324;
000.008;011.326;
000.007;011.326;
000.007;011.326;
000.007;011.326;
000.007;011.326;
000.007;011.326;
000.007;011.326;
000.007;011.326;
000.006;011.328;
000.006;011.328;
000.005;011.328;
000.005;011.328;
000.005;011.330;
000.005;011.330;
000.004;011.330;
000.004;011.330;
000.004;011.330;
000.003;011.332;
000.003;011.332;
000.003;011.332;
000.003;011.332;
000.002;011.332;
000.001;011.334;
000.000;011.334;
000.000;011.336;
000.000;011.336;
-000.000;011.336;
-000.000;011.336;
-000.000;011.338;
-000.000;011.338;
-000.000;011.338;
-000.001;011.338;
-000.001;011.338;
-000.002;011.340;
-000.003;011.340;
-000.003;011.342;
-000.003;011.342;
-000.003;011.342;
-000.003;011.342;
-000.003;011.342;
-000.003;011.342;
-000.004;011.342;
-000.004;011.344;
-000.005;011.344;
-000.005;011.346;
-000.005;011.346;
-000.005;011.346;
-000.005;011.346;
-000.005;011.346;
-000.005;011.346;
-000.005;011.346;
-000.005;011.346;
-000.006;011.346;
-000.006;011.346;
-000.007;011.348;
-000.007;011.348;
-000.007;011.348;
-000.007;011.348;
-000.007;011.348;
-000.007;011.348;
-000.007;011.348;
-000.007;011.348;
-000.007;011.348;
-000.007;011.348;
-000.007;011.348;
-000.007;011.348;
-000.007;011.350;
-000.008;011.350;
-000.008;011.350;
-000.008;011.350;
-000.008;011.350;
-000.007;011.350;
-000.007;011.350;
-000.007;011.350;
-000.007;011.350;
-000.008;011.350;
-000.008;011.350;
-000.008;011.352;
-000.009;011.352;
-000.009;011.352;
-000.008;011.352;
-000.008;011.352;
-000.008;011.352;
-000.007;011.352;
-000.007;011.352;
-000.007;011.352;
-000.008;011.352;
-000.008;011.352;
-000.008;011.352;
-000.008;011.352;
-000.007;011.352;
-000.007;011.352;
-000.007;011.352;
-000.007;011.352;
-000.007;011.350;
-000.007;011.350;
-000.006;011.350;
-000.006;011.350;
-000.006;011.350;
-000.007;011.350;
-000.008;011.352;
-000.008;011.352;
-000.008;011.354;
-000.008;011.354;
-000.008;011.354;
-000.007;011.352;
-000.007;011.352;
-000.007;011.352;
-000.007;011.352;
-000.007;011.352;
-000.007;011.352;
-000.008;011.354;
-000.008;011.354;
-000.008;011.354;
-000.008;011.354;
-000.007;011.354;
-000.007;011.354;
-000.007;011.352;
-000.007;011.352;
-000.006;011.352;
-000.006;011.352;
-000.006;011.352;
-000.006;011.352;
-000.007;011.352;
-000.007;011.354;
-000.007;011.354;
-000.007;011.354;
-000.007;011.354;
-000.007;011.354;
-000.006;011.352;
-000.006;011.352;
-000.005;011.352;
-000.005;011.352;
-000.005;011.352;
-000.005;011.352;
-000.006;011.352;
-000.006;011.352;
-000.006;011.352;
-000.005;011.352;
-000.004;011.350;
-000.004;011.350;
-000.003;011.350;
-000.003;011.348;
-000.003;011.348;
-000.003;011.348;
-000.002;011.348;
-000.002;011.348;
-000.002;011.346;
-000.002;011.348;
-000.002;011.348;
-000.002;011.348;
-000.001;011.346;
-000.001;011.346;
-000.001;011.346;
-000.000;011.346;
-000.000;011.344;
-000.001;011.344;
-000.001;011.346;
-000.001;011.346;
-000.001;011.346;
-000.001;011.346;
-000.000;011.346;
-000.000;011.344;
-000.000;011.344;
000.000;011.344;
000.000;011.344;
000.000;011.344;
000.000;011.344;
-000.000;011.344;
-000.000;011.344;
-000.000;011.344;
000.000;011.344;
000.000;011.344;
000.001;011.342;
000.001;011.342;
000.001;011.342;
000.001;011.342;
000.001;011.342;
000.001;011.342;
000.001;011.342;
000.002;011.340;
000.001;011.340;
000.001;011.340;
000.002;011.340;
000.002;011.340;
000.002;011.340;
000.002;011.340;
000.002;011.340;
000.003;011.340;
000.003;011.338;
000.001;011.338;
000.001;011.342;
000.001;011.340;
000.001;011.340;
000.002;011.340;
000.002;011.340;
000.002;011.340;
000.002;011.340;
000.002;011.340;
000.002;011.340;
000.002;011.340;
000.002;011.340;
000.001;011.340;
000.002;011.340;
000.002;011.340;
000.002;011.340;
000.002;011.340;
000.002;011.340;
000.002;011.338;
000.002;011.338;
000.002;011.340;
000.001;011.340;
000.001;011.340;
000.001;011.342;
000.001;011.340;
000.001;011.340;
000.002;011.340;
000.002;011.340;
000.001;011.340;
000.001;011.340;
000.000;011.340;
000.000;011.342;
000.000;011.342;
000.000;011.342;
000.001;011.342;
000.001;011.340;
000.001;011.340;
000.001;011.340;
000.001;011.340;
000.000;011.342;
000.000;011.342;
000.000;011.342;
000.000;011.342;
000.000;011.342;
-000.000;011.342;
-000.000;011.342;
-000.000;011.342;
-000.000;011.344;
-000.000;011.344;
-000.000;011.344;
-000.000;011.344;
