000.003;
000.003;020.000;021.760;
000.003;019.984;021.776;
000.004;019.972;021.788;
000.004;019.960;021.800;
000.004;019.948;021.812;
000.004;019.934;021.826;
000.004;019.920;021.840;
000.004;019.906;021.854;
000.005;019.890;021.870;
000.005;019.874;021.886;
000.005;019.858;021.902;
000.005;019.842;021.918;
000.005;019.824;021.936;
000.005;019.806;021.954;
000.006;019.788;021.972;
000.006;019.770;021.990;
000.006;019.750;022.010;
000.006;019.730;022.030;
000.006;019.710;022.050;
000.006;019.690;022.070;
000.006;019.670;022.090;
000.006;019.648;022.112;
000.006;019.628;022.132;
000.006;019.608;022.152;
000.006;019.586;022.174;
000.006;019.566;022.194;
000.006;019.546;022.214;
000.006;019.526;022.234;
000.006;019.506;022.254;
000.006;019.488;022.272;
000.005;019.468;022.292;
000.005;019.450;022.310;
000.005;019.434;022.326;
000.005;019.418;022.342;
000.004;019.402;022.358;
000.004;019.388;022.372;
000.003;019.376;022.384;
000.003;019.366;022.394;
000.002;019.356;022.404;
000.001;019.350;022.410;
000.001;019.344;022.416;
000.000;019.342;022.418;
-000.000;019.342;022.418;
-000.000;019.342;022.418;
-000.001;019.346;022.414;
-000.002;019.352;022.408;
-000.003;019.362;022.398;
-000.004;019.372;022.388;
-000.005;019.388;022.372;
-000.006;019.408;022.352;
-000.008;019.430;022.330;
-000.009;019.456;022.304;
-000.011;019.488;022.272;
-000.012;019.524;022.236;
-000.014;019.564;022.196;
-000.015;019.610;022.150;
-000.017;019.662;022.098;
-000.019;019.718;022.042;
-000.020;019.780;021.980;
-000.022;019.846;021.914;
-000.024;019.918;021.842;
-000.026;019.996;021.764;
-000.028;020.080;021.680;
-000.031;020.172;021.588;
-000.033;020.270;021.490;
-000.035;020.374;021.386;
-000.038;020.486;021.274;
-000.040;020.606;021.154;
-000.042;020.732;021.028;
-000.045;020.866;020.894;
-000.047;021.008;020.752;
-000.049;021.158;020.602;
-000.052;021.312;020.448;
-000.054;021.474;020.286;
-000.056;021.646;020.114;
-000.058;021.822;019.938;
-000.060;022.004;019.756;
-000.061;022.190;019.570;
-000.063;022.382;019.378;
-000.064;022.576;019.184;
-000.064;022.774;018.986;
-000.064;022.970;018.790;
-000.064;023.168;018.592;
-000.064;023.366;018.394;
-000.062;023.562;018.198;
-000.061;023.752;018.008;
-000.060;023.938;017.822;
-000.057;024.120;017.640;
-000.056;024.294;017.466;
-000.053;024.464;017.296;
-000.050;024.624;017.136;
-000.047;024.774;016.986;
-000.044;024.912;016.848;
-000.041;025.044;016.716;
-000.039;025.168;016.592;
-000.037;025.286;016.474;
-000.034;025.396;016.364;
-000.031;025.496;016.264;
-000.028;025.590;016.170;
-000.024;025.670;016.090;
-000.022;025.738;016.022;
-000.019;025.804;015.956;
-000.016;025.860;015.900;
-000.012;025.904;015.856;
-000.007;025.936;015.824;
-000.003;025.952;015.808;
-000.000;025.958;015.802;
000.003;025.952;015.808;
000.006;025.936;015.824;
000.010;025.912;015.848;
000.012;025.872;015.888;
000.015;025.832;015.928;
000.016;025.780;015.980;
000.019;025.726;016.034;
000.022;025.662;016.098;
000.026;025.588;016.172;
000.028;025.502;016.258;
000.030;025.410;016.350;
000.032;025.314;016.446;
000.034;025.214;016.546;
000.036;025.106;016.654;
000.040;024.990;016.770;
000.042;024.862;016.898;
000.043;024.730;017.030;
000.044;024.596;017.164;
000.046;024.456;017.304;
000.048;024.314;017.446;
000.050;024.162;017.598;
000.051;024.006;017.754;
000.055;023.846;017.914;
000.057;023.672;018.088;
000.059;023.492;018.268;
000.062;023.306;018.454;
000.064;023.110;018.650;
000.066;022.908;018.852;
000.068;022.700;019.060;
000.070;022.488;019.272;
000.072;022.272;019.488;
000.074;022.048;019.712;
000.075;021.818;019.942;
000.077;021.586;020.174;
000.078;021.344;020.416;
000.079;021.102;020.658;
000.082;020.858;020.902;
000.084;020.602;021.158;
000.085;020.342;021.418;
000.085;020.080;021.680;
000.088;019.818;021.942;
000.089;019.544;022.216;
000.091;019.268;022.492;
000.093;018.986;022.774;
000.095;018.698;023.062;
000.097;018.404;023.356;
000.098;018.100;023.660;
000.099;017.798;023.962;
000.101;017.490;024.270;
000.104;017.176;024.584;
000.106;016.854;024.906;
000.108;016.526;025.234;
000.109;016.192;025.568;
